Broad region value,Broad region,Specific region value,Specific region (country or colony),Place value,Places (port or location)
,,,,21655,"Concordia Parish, LA"
,,,,21656,"Madison Parish, LA"
,,,,21657,"Point Coupee Parish, LA"
,,,,21658,"Cherokee County, AL"
,,,,21659,"Baulding, MS"
,,,,21660,"Brandon, MS"
,,,,21661,"Claiborne County, MS"
,,,,21662,"Columbus, MS"
,,,,21663,"Port Gibson, MS"
,,,,21664,"Franklin County, MS"
,,,,21665,"Greenwood, MS"
,,,,21666,"Hinds County, MS"
,,,,21667,"Jackson County, MS"
,,,,21668,"Jackson, MS"
,,,,21669,"Bigbee, Washington County"
,,,,21670,"Carroll County, MS"
,,,,21671,"Lawrence County, MS"
,,,,21672,"Panola County, MS"
,,,,21673,"Vicksburg, MS"
,,,,21674,"Princetown, MS"
,,,,21675,"Baldwin County, AL"
,,,,21676,"Monroe County, AL"
,,,,21677,"Lowndes County, AL"
,,,,21678,"Montgomery, AL"
,,,,21679,"Franklin, LA"
,,,,21680,"Mooresville, AL"
,,,,21681,"Perry County, AL"
,,,,21682,"Selma, AL"
,,,,21683,"Talledega, AL"
,,,,21684,"Shelby County, AL"
,,,,21685,"Wilcox County, AL"
,,,,21686,"Barbour County, AL"
,,,,21687,"Benton County, AL"
,,,,21688,"Cahaba, AL"
,,,,21689,"Monroe, LA"
,,,,21690,"Jackson, LA"
,,,,21691,"Attakapas, LA"
,,,,21692,"Grand Coteau, LA"
,,,,21693,"Thibodaux, LA"
,,,,21694,"Coosa County, AL"
,,,,21695,"Dallas County, AL"
,,,,21696,"Quincy, AL"
,,,,21697,"Henry County, AL"
,,,,21698,"Green County, AL"
,,,,21699,"Gulf Coast, port unspecifed"
20000,Mainland North America,21700,Canada,21701,Quebec
,,,,21702,New Brunswick
,,,,21703,St. John
,,,,21704,Newfoundland
,,,,21705,Nova Scotia
,,,,21706,Halifax
,,,,21707,Mahone Bay
,,,,21708,"Roseway, NS"
,,,,21710,Trois-Rivières
,,,,21799,"Canada, port unspecified"
20000,Mainland North America,21800,Kentucky,21801,Smithfield
,,,,21802,Louisville
,,,,21804,Barton
,,,,21805,Frankfort
,,,,21806,Lexington
,,,,21807,Paris
,,,,21899,"Kentucky, port unspecified"
20000,Mainland North America,21900,Other North America,21901,Newport and Boston
,,,,21902,Newport and Salem
,,,,21903,New England
,,,,21904,Carolinas
,,,,21906,"Washington, DC"
,,,,21907,Arkansas (port unknown)
,,,,21908,"Batesville, AR"
,,,,21909,Albany
,,,,21911,Cape Breton
,,,,21912,"Columbus, MO"
,,,,21913,Missouri - place unspecified
,,,,21914,"St.Louis, MO"
,,,,21915,"Franklin, MO"
,,,,21919,Ohio - place unspecified
,,,,21920,Indiana - place unspecified
,,,,21921,Greensboro
,,,,21922,"Quincy, OH"
,,,,21923,California - place unspecified
,,,,21924,"Paris, MO"
,,,,21925,"Cincinatti, OH"
,,,,21926,Vermont - place unspecified
,,,,21927,"Camden, AR"
,,,,21928,"Rock Creek, IL"
,,,,21929,"Charleston, WV"
,,,,21999,"USA, location unspecified"
20000,Mainland North America,22000,Tennessee,22001,Nashville
,,,,22002,Fayetteville
,,,,22004,Memphis
,,,,22005,Giles County
,,,,22006,Jackson County
,,,,22007,Shelby County
,,,,22099,"Tennessee, port unspecified"
20000,Mainland North America,22100,Texas,22101,Woodville
,,,,22102,Galveston
,,,,22103,Montgomery County
,,,,22104,Anderson
,,,,22105,Austin
,,,,22106,Aransas
,,,,22107,Houston
,,,,22108,Aransas Bay
,,,,22109,Independence
,,,,22110,Brazos
,,,,22111,Brazos River
,,,,22112,Brazos Santiago
,,,,22113,Bastrop
,,,,22114,Comal County
,,,,22115,Centreville
,,,,22116,Clinton
,,,,22117,Columbia
,,,,22118,Cuero
,,,,22119,Fayette County
,,,,22120,Fort Graham
,,,,22121,Foster County
,,,,22122,Freestone County
,,,,22123,Goliad
,,,,22124,Gonzales
,,,,22126,Grimes County
,,,,22127,Guadalupe
,,,,22128,Harris County
,,,,22129,"Henderson, Rusk County"
,,,,22130,Huntsville
,,,,22131,Port Lavaca
,,,,22132,Leon County
,,,,22133,Lexington
,,,,22134,Harrisburg
,,,,22135,Indian Point
,,,,22136,Liberty County
,,,,22137,Lubbock County
,,,,22138,Matagorda
,,,,22140,Indianola
,,,,22141,New Braunfels
,,,,22142,Fort Bend
,,,,22143,La Salle
,,,,22144,Laureles
,,,,22145,Polk County
,,,,22146,Newton County
,,,,22147,Victoria County
,,,,22148,Waco
,,,,22149,Lavaca Bay
,,,,22150,Washington County
,,,,22151,Richmond
,,,,22152,Linn's Landing
,,,,22153,Linnville
,,,,22154,Victoria
,,,,22155,Woodbury County
,,,,22156,Corpus Christi
,,,,22157,Brazoria
,,,,22158,San Antonio
,,,,22159,Dallas County
,,,,22160,Milam County
,,,,22161,Chapel Hill
,,,,22162,Wharton
,,,,22163,San Jacinto
,,,,22164,Matagorda Bay
,,,,22165,Port Caddo
,,,,22166,Port Isabel
,,,,22167,Powderhorn
,,,,22168,Quintana
,,,,22169,Rio Grande
,,,,22170,Sabine
,,,,22171,Sabine City
,,,,22172,Sabine Lake
,,,,22173,Sabine Pass
,,,,22174,Sabine River
,,,,22175,Saluria
,,,,22176,St. Joseph's Island
,,,,22177,Velasco
,,,,22178,Pass Cavallo
,,,,22199,"Texas, port unspecified"
20000,Mainland North America,23000,California,23099,"California, place unspecified"
30000,Caribbean,31100,Hispaniola,31102,Isabela
,,,,31103,Monte Christi
,,,,31104,Samana
,,,,31106,San Domingo (a) Santo Domingo
,,,,31107,Ocoa
,,,,31108,Nizao
,,,,31109,Puerto de Plata
,,,,31110,Isla Saona
,,,,31199,"Hispaniola, unspecified"
30000,Caribbean,31200,Puerto Rico,31201,San Juan
,,,,31202,Ponce
,,,,31203,Guayama
,,,,31204,San Germán
,,,,31299,"Puerto Rico, port unspecified"
30000,Caribbean,31300,Cuba,31301,Bahia Honda
,,,,31302,Banes
,,,,31303,Cabanas
,,,,31304,Caibarien
,,,,31305,Canasí
,,,,31306,Cardenas
,,,,31307,Cienfuegos
,,,,31308,"Cuba, south coast"
,,,,31309,"Cuba, west coast"
,,,,31310,Estuary of River Guane
,,,,31311,Guanimar
,,,,31312,Havana
,,,,31313,Isla de Pinas
,,,,31314,"Magari, Manzanillo"
,,,,31315,Mariel
,,,,31316,Matanzas
,,,,31317,"Matanzas province, north"
,,,,31318,"Matanzas province, south"
,,,,31319,Nuevitas
,,,,31320,Puerto Padre
,,,,31321,Sagua
,,,,31322,San Juan de los Remedios
,,,,31323,Santiago de Cuba
,,,,31324,Trinidad de Cuba
,,,,31326,Batabanó
,,,,31327,Baracoa
,,,,31328,Punta Macurijes
,,,,31329,South Keys
,,,,31330,Puerto Principe
,,,,31331,Holguín
,,,,31332,Bacuranao
,,,,31333,San Jose
,,,,31334,"San Lazaro, Havana"
,,,,31399,"Cuba, port unspecified"
30000,Caribbean,31400,Other Spanish Caribbean,31401,San Andrés
,,,,,
,,,,31499,"Spanish Caribbean, unspecified"
,,,,35512,Providence Island
30000,Caribbean,32100,Dutch Caribbean,32110,Curaçao
,,,,32111,Willemstad
,,,,32120,Aruba
,,,,32130,Bonaire
,,,,32140,St. Maarten
,,,,32141,Cul de Sac (St. Maarten)
,,,,32150,St. Eustatius
,,,,32151,Saba
,,,,32199,"Dutch Caribbean, colony unspecified"
30000,Caribbean,32200,Dutch Guianas,32201,Guiana
,,,,32202,Nova Zeelandia (Wild Coast)
,,,,32230,Essequibo
,,,,32240,"Suriname, place unspecified"
,,,,32241,Paramaribo
,,,,32250,Berbice
,,,,32299,"Dutch Guianas, colony unspecified"
30000,Caribbean,32300,Other Dutch Americas,32301,Bijsterpan
,,,,32399,"Other Dutch Americas, colony unspecified"
30000,Caribbean,33200,Tortola,33299,"Tortola, port unspecified"
30000,Caribbean,33300,Anguilla,33399,"Anguilla, port unspecified"
30000,Caribbean,33400,Antigua,33401,Saint John (Antigua)
,,,,33499,"Antigua, place unspecified"
30000,Caribbean,33500,St. Kitts,33599,"St. Kitts, port unspecified"
30000,Caribbean,33600,Nevis,33601,Newcastle (Nevis)
,,,,33699,"Nevis, port unspecified"
30000,Caribbean,33700,Montserrat,33799,"Montserrat, port unspecified"
30000,Caribbean,33800,Dominica,33801,Roseau
,,,,33802,St. Marc
,,,,33899,"Dominica, place unspecified"
30000,Caribbean,34100,St. Lucia,34199,"St. Lucia, port unspecified"
30000,Caribbean,34200,Barbados,34201,King's Harbour
,,,,34202,Speightstown
,,,,34299,"Barbados, place unspecified"
30000,Caribbean,34300,St. Vincent,34399,"St. Vincent, port unspecified"
30000,Caribbean,34400,Grenada,34401,Grand Mal
,,,,34402,Paraelek
,,,,34403,Corinth
,,,,34404,Palmish
,,,,34405,Morne Delue
,,,,34406,Providence
,,,,34407,Clarkes Court
,,,,34408,Bellevue
,,,,34409,Revolution Hall
,,,,34410,St George
,,,,34411,St. Cyr
,,,,34412,Resource
,,,,34413,Hope Vale
,,,,34414,Hermitage
,,,,34415,Grand Ance
,,,,34416,L'Esterre and Columbiere
,,,,34417,Union
,,,,34418,Balthazard
,,,,34419,Bacolets and Isle Rhome
,,,,34420,River Antoine and Mount Saint Harg
,,,,34421,Mount Alexander
,,,,34422,Goodson
,,,,34423,Caliving
,,,,34424,Fontenoy
,,,,34425,Adelphi
,,,,34426,Rose Mount
,,,,34427,Mount Pleasant
,,,,34428,Point Saline
,,,,34429,Snell Hall
,,,,34430,La Digue
,,,,34431,Morne Salone
,,,,34432,Carriacou
,,,,34433,Windsor
,,,,34434,Beausefour
,,,,34435,Kettle Point
,,,,34436,Springs
,,,,34437,Vendôme
,,,,34438,Florida
,,,,34439,Carmile
,,,,34499,"Grenada, place unspecified"
30000,Caribbean,34500,Trinidad,34599,"Trinidad, port unspecified"
30000,Caribbean,34600,Tobago,34601,Zion Hill
,,,,34699,"Tobago, port unspecified"
30000,Caribbean,35100,Jamaica,35101,Annotto Bay
,,,,35102,Antonia
,,,,35103,Black River
,,,,35104,Falmouth (Jam.)
,,,,35105,Lucea (a) St. Lucea
,,,,35106,Martha Brae
,,,,35107,Montego Bay
,,,,35108,Morant Bay
,,,,35109,Port Maria
,,,,35110,Port Royal
,,,,35111,Saint Ann's Bay
,,,,35112,Savanna la Mar
,,,,35113,Spanish Town
,,,,35114,Kingston
,,,,35116,Smoaky Hall Plantation Trelawny
,,,,35117,Hide Hall Estate Trelawny
,,,,35118,Hopewell Estate
,,,,35119,Dumfries
,,,,35120,Queenbithe Estate
,,,,35121,"Killbryde, New Canaan Estate"
,,,,35199,"Jamaica, place unspecified"
30000,Caribbean,35200,Bahamas,35201,New Providence
,,,,35202,Turk's Island
,,,,35203,Nassau
,,,,35204,Cat Island
,,,,35205,Exuma
,,,,35206,Heneague
,,,,35299,"Bahamas, port unspecified"
30000,Caribbean,35300,British Guiana,35301,Cumingsberg
,,,,35302,Stabroek
,,,,35304,Demerara
,,,,35305,Kingston (Demerera)
,,,,35399,"British Guina, port unspecified"
30000,Caribbean,35400,British Honduras,35401,Mosquito Shore
,,,,35499,"British Honduras, port unspecified"
30000,Caribbean,35500,Other British Caribbean,33402,Barbuda
,,,,35502,Antigua or Dominica
,,,,35503,Barbados and Jamaica
,,,,35504,Dominica or Jamaica
,,,,35505,Jamaica or St. Kitts
,,,,35507,British Leewards
,,,,35508,Bermuda
,,,,35509,Hamilton (Bermuda)
,,,,35510,Becquia
,,,,35511,Grand Caymans
,,,,35599,"British Caribbean, colony unspecified"
,,,,37040,"Spanish Town, British Virgin Islands"
30000,Caribbean,36100,Martinique,36101,Fort-Royale
,,,,36102,Saint-Pierre
,,,,36199,"Martinique, place unspecified"
30000,Caribbean,36200,Guadaloupe,36201,Basse-Terre
,,,,36202,Pointe-à-Pitre
,,,,36203,Marie-Galante
,,,,36204,"Grande-Terre, port unspecified"
,,,,36299,"Guadeloupe, place unspecified"
30000,Caribbean,36300,French Guiana,36301,Cayenne
,,,,36302,Oyapock
,,,,36399,"French Guiana, port unspecified"
30000,Caribbean,36400,Saint-Domingue,36401,Tortuga
,,,,36402,Arcahaie
,,,,36403,Cap Français
,,,,36404,Cayes (Les)
,,,,36405,Cul-de-Sac
,,,,36406,Fort Dauphin
,,,,36407,Jacmel
,,,,36408,Jérémie
,,,,36409,Léogane
,,,,36410,Môle Saint Nicolas
,,,,36411,Petit-Goâve
,,,,36412,Port-au-Prince
,,,,36413,Port-de-Paix
,,,,36414,Saint-Marc
,,,,36415,Île à Vache
,,,,36416,Cap Tiberon
,,,,36420,Gonaïve
,,,,36421,Aribonite
,,,,36422,Morne Rouge
,,,,36423,le Mustic (Moustique)
,,,,36424,Boucassin
,,,,36425,L'Estère
,,,,36426,Mont. de Chanteloup
,,,,36427,Port-Margot
,,,,36428,Chicahominy
,,,,36429,Dondon
,,,,36430,Longemalle (Habitation)
,,,,36431,Limonade
,,,,36432,Fond
,,,,36433,Ouanaminthe
,,,,36434,Charbonniere
,,,,36435,Nippes
,,,,36436,Belair
,,,,36437,Boucan-Champagne
,,,,36438,Petite Anse
,,,,36439,Rue Bourbon
,,,,36440,Grand Coâve
,,,,36442,Bon Repos
,,,,36443,Port à l'écu
,,,,36444,"Belair, rue de Vaudreuil"
,,,,36446,Fond-d'Icaques
,,,,36499,"Saint-Domingue, then Haiti, port unspecified"
30000,Caribbean,36500,Other French Caribbean,36599,"French Caribbean, colony unspecified"
,,,,,
30000,Caribbean,37000,Danish West Indies,37010,St. Croix
,,,,37020,St. Thomas
,,,,37030,St. John (Virgin Islands)
,,,,37099,"Danish West Indies, colony unspecified"
30000,Caribbean,38100,St. Barthélemy (Sweden),38101,"Gustavia, St. Barthélemy"
,,,,,
,,,,38199,"St. Barthélemy, port unspecified"
30000,Caribbean,39000,Other Caribbean,39001,Caribbean (colony unspecified)
,,,,39003,Orici
,,,,39004,Bottomaneau
,,,,39999,"Caribbean, port unspecified"
40000,Spanish Mainland Americas,41200,Spanish Circum- Caribbean,41201,"New Spain, port unspecified"
,,,,41202,Campeche
,,,,41203,Veracruz
,,,,41204,Guatemala
,,,,41205,Santo Tomas
,,,,41206,Portobelo
,,,,41207,Cartagena
,,,,41208,Santa Marta
,,,,41210,"Venezuela, port unspecified"
,,,,41211,Borburata
,,,,41212,Caracas
,,,,41213,Cumana
,,,,41214,La Guaira
,,,,41215,Margarita
,,,,41216,Orinoko
,,,,41217,Rio de la Hacha
,,,,41218,Darien
,,,,41219,Nombre de Dios
,,,,41220,Rattan (a) Roatán
,,,,41221,Puerto Cabello
,,,,41222,Isla de Aves
,,,,41223,Coro
,,,,41224,Maracaibo
,,,,41225,Nueva Barcelona
,,,,41226,"Guayana, Venezuela"
,,,,41227,Caracas Coast and Tucacas
,,,,41228,San Juan de los Cayos
,,,,41229,"Tortuga Island, Venezuela"
,,,,41231,San Felipe
,,,,41232,El Salvador
,,,,41252,"Trujillo, Honduras"
,,,,41253,Puerto de Caballos (Puerto Cortes)
,,,,41297,"Panama, Port unspecified"
,,,,41298,"Honduras, port unspecified"
,,,,41299,"Spanish Circum-Caribbean,unspecified"
40000,Spanish Mainland Americas,42000,Rio de la Plata,24008,Arequipa
,,,,42001,Buenos Aires
,,,,42002,Montevideo
,,,,42003,Colonia de Sacramento
,,,,42004,Maldonado
,,,,42005,Río Negro
,,,,42006,Buceo
,,,,42007,Punta del Este
,,,,42014,Asunción
,,,,42015,Concepción del Uruguay
,,,,42016,Curupaity
,,,,42017,Gualeguay
,,,,42018,Humaitá
,,,,42099,"Rio de la Plata, port unspecified"
40000,Spanish Mainland Americas,43000,Peru,43000,Peru
,,,,43001,Lima
,,,,43002,"Ica, Peru"
,,,,43099,"Peru, port unspecified"
40000,Spanish Mainland Americas,44000,Chile,44001,Valparaiso
,,,,44002,Talcahuano
40000,Spanish Mainland Americas,45000,Ecuador,45099,"Ecuador, port unspecified"
40000,Spanish Mainland Americas,46000,Pacific Central America,46001,Panama City
50000,Brazil,50100,Amazonia,50101,Portos do Norte
,,,,50102,Maranhão
,,,,50103,Pará
,,,,50104,Guajano
,,,,50105,Rio Amazona
,,,,50106,"Ceará, port unspecified"
,,,,50107,Macapá
,,,,50108,Belém
,,,,50109,São Luis
,,,,50110,Aracaty
,,,,50111,Tapajé
,,,,50112,Manaus
,,,,50199,"Amazonia, port unspecified"
50000,Brazil,50200,Bahia,50201,Pôrto Seguro
,,,,50202,Rio Real
,,,,50203,Rio São Francisco
,,,,50204,Taipu
,,,,50205,Alcobaça
,,,,50206,Aldeia Velha
,,,,50207,Aracaju
,,,,50208,Belmonte
,,,,50209,Boaventura
,,,,50210,Canavieiras
,,,,50211,Caravelas
,,,,50212,"Caravelas, Mucuri e Vitória"
,,,,50213,Estância
,,,,50214,Ilhéus
,,,,50215,Laranjeiras
,,,,50216,Mucuri
,,,,50217,Rio Cotinguiba
,,,,50218,Santa Cruz
,,,,50219,"Sergipe, place unspecified"
,,,,50220,Valença
,,,,50221,Vila Viçosa
,,,,50222,Maguay
,,,,50223,Prado
,,,,50299,"Bahia, place unspecified"
50000,Brazil,50300,Pernambuco,50301,"Alagoas, place unspecified"
,,,,50302,Ilha de Itamaric
,,,,50303,Maceió
,,,,50304,Catuamo and Maria Farinha
,,,,50305,Porto de Galinhas
,,,,50306,Paraíba
,,,,50307,Rio Grande do Norte
,,,,50308,Açu
,,,,50309,Fernando de Noronha
,,,,50310,Patacho
,,,,50311,Recife
,,,,50312,Rio Paraíba do Norte
,,,,50313,Olinda
,,,,50314,Penedo
,,,,50315,Vila Bela
,,,,50399,"Pernambuco, place unspecified"
50000,Brazil,50400,Southeast Brazil,50402,Baía de Botafogo
,,,,50403,Baía de Sepetiba
,,,,50404,Cabo de Búzios
,,,,50405,Cabo Frio
,,,,50406,Campos
,,,,50407,Cananéia
,,,,50408,Copacabana
,,,,50409,Dois Rios
,,,,50410,Ilha de Paquetá
,,,,50411,Ilha das Palmas
,,,,50412,Ilha Grande
,,,,50413,Ilha de Lobes
,,,,50414,Ilha de Marambaia
,,,,50415,Angra dos Reis
,,,,50416,Macaé
,,,,50417,Mangaratiba
,,,,50418,Maricá
,,,,50419,Paranaguá
,,,,50420,Parati
,,,,50421,Ponta Negro
,,,,50422,Rio de Janeiro
,,,,50423,Rio de Janeiro province
,,,,50424,"Rio de Janeiro, Sao Paulo, Santa Catarina"
,,,,50425,Angra dos Reis e Mangaratiba
,,,,50426,"Rio Grande do Sul, place unspecified"
,,,,50427,Rio São Jeso
,,,,50428,Santos
,,,,50429,Antonina
,,,,50430,São Sebastião
,,,,50431,Santa Catarina
,,,,50432,Ariró
,,,,50433,Ubatuba
,,,,50434,Vitória
,,,,50435,Laguna
,,,,50436,Ilha dos Porcos
,,,,50437,São Vicente
,,,,50438,Espírito Santo
,,,,50439,Benevente
,,,,50440,Campos e Macaé
,,,,50441,Cananéia e Iguape
,,,,50442,Caraguatatuba
,,,,50443,Guarapari
,,,,50444,Guaratiba
,,,,50445,Guaratuba
,,,,50446,Iguape
,,,,50447,Itabapoana
,,,,50448,Itaguaí
,,,,50449,Itaipu
,,,,50450,Itajaí
,,,,50451,Itapemirim
,,,,50452,Itapocorói
,,,,50453,Jerumirim
,,,,50454,Jerumirim e Mangaratiba
,,,,50455,Mambucaba
,,,,50456,Porto Alegre
,,,,50457,Porto Belo
,,,,50458,Portos do Sul
,,,,50459,Rio das Ostras
,,,,50460,Rio Doce
,,,,50461,Rio Grande
,,,,50462,Rio São Francisco do Sul
,,,,50463,Rio São João
,,,,50464,São Mateus
,,,,50465,Vila Nova
,,,,50466,Araçariguama
,,,,50467,Barbacena
,,,,50468,Florianópolis
,,,,50469,Jacareí
,,,,50471,Mariana Minas Gerais
,,,,50472,Minas Gerais State
,,,,50473,Niterói
,,,,50474,Curitiba
,,,,50475,Santa Catarina State
,,,,50476,São Paulo
,,,,50477,Silvianópolis
,,,,50478,Sorocaba
,,,,50479,Tatuí
,,,,50481,Viana
,,,,50482,Cerrito
,,,,50483,Fazenda do Largo
,,,,50484,Guarainha
,,,,50485,Imbetiba
,,,,50486,Ipanema
,,,,50487,Itacuruçá
,,,,50488,Leopoldina
,,,,50489,Pelotas
,,,,50490,Piúma
,,,,50491,São João da Barra
,,,,50499,"Southeast Brazil, port unspecified"
50000,Brazil,50500,Other Brazil,50599,"Brazil, place unspecified"
60000,Africa,60100,Senegambia and offshore Atlantic,60101,Albreda
,,,,60102,Arguim
,,,,60103,Bissagos
,,,,60104,Bissau
,,,,60105,Cacheu
,,,,60106,Casamance
,,,,60107,Galam
,,,,60108,Gambia
,,,,60109,Gorée
,,,,60110,James Fort
,,,,60111,"Joal, or Saloum River"
,,,,60112,Oibo
,,,,60113,Portudal
,,,,60114,Portuguese Guinea
,,,,60115,Rio Bolola
,,,,60116,Rio Bramiah
,,,,60117,Rio Grande
,,,,60118,Saint-Louis
,,,,60119,French Africa (Goree or Senegal)
,,,,60126,Cape Verde Islands
,,,,60127,Santa Catarina do Fogo
,,,,60128,Madeira
,,,,60129,Azores
,,,,60141,Canary Islands
,,,,60142,Tenerife
,,,,60143,McCarthy Island
,,,,60145,River Gambie
,,,,60146,Dakar
,,,,60147,"São Nicolau, Cape Verde"
,,,,60148,Senegal
,,,,60199,"Senegambia and offshore Atlantic, port unspecified"
60000,Africa,60200,Sierra Leone,60201,Banana Islands
,,,,60202,Bance/Bunce Island
,,,,60203,Ben's Island
,,,,60204,Cacandia
,,,,60205,Côte de Malaguette (runs through to Cape Palmas on Windward Coast)
,,,,60206,Delagoa
,,,,60207,Freetown
,,,,60208,Gallinhas
,,,,60209,Garraway Roads
,,,,60210,Iles de Los
,,,,60211,Iles Plantain
,,,,60212,Rio Nunez
,,,,60213,Rio Pongo
,,,,60214,Scarcies
,,,,60216,Settra Kou
,,,,60217,Sherbro
,,,,60218,Siraboom
,,,,60219,Sugary (Siekere)
,,,,60220,Sierra Leone estuary
,,,,60221,Bundu
,,,,60241,Mano
,,,,60242,River Kissey
,,,,60243,Bathurst (Leopold)
,,,,60244,Kissy
,,,,60245,Charlotte
,,,,60246,Gloucester
,,,,60247,Hastings
,,,,60248,Waterloo
,,,,60249,Regent
,,,,60253,Aberdeen
,,,,60254,Wellington
,,,,60256,Wilberforce
,,,,60257,Newlands
,,,,60258,Murray
,,,,60259,Leicester
,,,,60260,Fraser Town
,,,,60261,Denham Town (Lumley)
,,,,60262,Lumley
,,,,60263,Kissy and Wellington
,,,,60264,Goderich
,,,,60265,Kent
,,,,60266,Kent School
,,,,60267,Mountain School
,,,,60268,Portuguese Town
,,,,60269,Western District
,,,,60270,Mountains
,,,,60271,Tombo
,,,,60272,Sussex
,,,,60273,Calmont
,,,,60274,Allenstown
,,,,60299,"Sierra Leone, port unspecified"
60000,Africa,60300,Windward Coast,60301,Barason
,,,,60302,Bassa
,,,,60303,Batoa
,,,,60304,Bercou
,,,,60305,Cap des Palmes
,,,,60306,Cape Mount (Cape Grand Mount)
,,,,60307,Cape Petit Mount
,,,,60308,Cape Grand Mount
,,,,60309,Cape Lahou
,,,,60310,Cess
,,,,60311,Grand Cess
,,,,60312,Petit Cess
,,,,60313,Dembia
,,,,60314,Drouin
,,,,60315,Grand Bassa
,,,,60316,Little Bassa
,,,,60317,Grand Bassam
,,,,60318,Grand Junk
,,,,60319,Little Junk
,,,,60321,Grand Mesurado
,,,,60322,Petit Mesurado
,,,,60324,Rio Assini
,,,,60325,Rio Cavalie
,,,,60326,Rio Sinou
,,,,60327,River Kissey
,,,,60328,Sassandra
,,,,60329,Grand Sestos
,,,,60330,Rock Sestos
,,,,60331,St. Paul
,,,,60332,Tabou
,,,,60333,Trade Town
,,,,60334,Liberia
,,,,60335,Ivory Coast
,,,,60336,Young Sestos
,,,,60337,Little Sestos
,,,,60338,Kru Settra
,,,,60339,Cape Palmas
,,,,60340,Settra Kru
,,,,60341,Sugury
,,,,60399,"Windward Coast, place unspecified"
60000,Africa,60400,Gold Coast,60402,Danish Gold Coast
,,,,60403,Acoda (Akka or Acquida)
,,,,60404,Accra
,,,,60405,Alampo
,,,,60407,Anomabu and Apam
,,,,60408,Anomabu
,,,,60409,Apammin
,,,,60410,Apollonia
,,,,60411,Axim
,,,,60412,Cape Coast Castle
,,,,60413,Chama
,,,,60414,Christiansborg
,,,,60415,Elmina
,,,,60416,Eva
,,,,60417,Kormantine
,,,,60418,Lagoo
,,,,60419,Mouree
,,,,60420,Ningo
,,,,60421,Rio Volta
,,,,60422,Sekondi
,,,,60423,Siekere
,,,,60424,Tantumquerry
,,,,60425,Wiamba
,,,,60426,Gold Coast from Kormatine to Accra
,,,,60427,Gold Coast east of Kormantine
,,,,60428,Pokesoe (Princes Town)
,,,,60429,Boutry
,,,,60432,Padeora
,,,,60433,Nanga
,,,,60434,Prampram
,,,,60499,"Gold Coast, port unspecified"
60000,Africa,60500,Bight of Benin,60501,Benin
,,,,60502,"Costa da Mina, place unspecified"
,,,,60503,Aghway
,,,,60504,Agora
,,,,60505,Amokou
,,,,60506,Ardra
,,,,60507,Badagry/Apa
,,,,60508,Dixcove
,,,,60509,Epe
,,,,60510,Popo
,,,,60511,Little Popo
,,,,60512,Grand Popo
,,,,60513,Ife
,,,,60514,Jacquin
,,,,60515,"Whydah, Ouidah"
,,,,60516,Keta
,,,,60517,"Lagos, Onim"
,,,,60518,Lamo River
,,,,60519,Lay
,,,,60520,Legas
,,,,60521,Oerê
,,,,60522,Pataquery
,,,,60523,Porto Novo
,,,,60524,Rio Forcados/Formosa/Benin
,,,,60525,Rio Nazareth
,,,,60526,Rio Nun
,,,,60530,"Bristol Island, Nazareth"
,,,,60599,"Bight of Benin, place unspecified"
60000,Africa,60600,Bight of Biafra and Gulf of Guinea islands,60601,Andony
,,,,60602,Barabalemo
,,,,60603,Bilbay
,,,,60604,Bimbia
,,,,60605,Bonny
,,,,60607,Bundy
,,,,60608,Calabar
,,,,60609,Cameroons
,,,,60610,Cameroons River
,,,,60611,Cape Baxos
,,,,60612,Cap Lopez
,,,,60613,Cap Lopez And Cabo Santa Catarina
,,,,60614,Cape Lopez and Annobon
,,,,60615,Corisco
,,,,60616,Corisco and Princes Island
,,,,60617,Fockey
,,,,60618,Forke
,,,,60619,Formosa
,,,,60620,Gabon
,,,,60621,Liverpool River
,,,,60622,New Calabar
,,,,60623,Quaqua
,,,,60624,River Brass
,,,,60625,River del Rey
,,,,60626,Timbeys
,,,,60627,Rio Nazareth
,,,,60628,Calabary
,,,,60635,Duke Town
,,,,60636,Tom Shotts Town
,,,,60637,Creek Town
,,,,60638,Ekrikok towns
,,,,60639,Old Town
,,,,60660,Gulf of Guinea islands
,,,,60661,Annobon
,,,,60662,Epee and Princes Islands
,,,,60663,Fernando Po
,,,,60664,Fernando Po and Cameroons
,,,,60665,Fernando Po and Princes Islands
,,,,60666,Juda and Princes Islands
,,,,60667,"Juda, Epee, Princes Island, and Annobon"
,,,,60668,Princes Island
,,,,60669,Princes Island and Annobon
,,,,60670,Princes Island and Cape Lopez
,,,,60671,Princes Island and São Tomé
,,,,60672,"Principe, Cap Lopez, Annobon"
,,,,60673,São Tomé
,,,,60674,São Tomé and Annobon
,,,,60675,São Tomé and Cape Lopez
,,,,60676,São Tomé or Princes Island
,,,,60677,Costa de Africa (mainland coast around S Tome/Principe)
,,,,60699,"Bight of Biafra and Gulf of Guinea Islands, port unspecified"
60000,Africa,60700,West Central Africa and St. Helena,60701,Alecuba
,,,,60702,Ambona
,,,,60703,Ambriz
,,,,60704,Ambrizete
,,,,60705,"Barra de Cariba, Luanda"
,,,,60706,Bengo
,,,,60707,Benguela
,,,,60708,Benguela Velho
,,,,60709,Boary
,,,,60710,Bomara
,,,,60711,Cabinda
,,,,60712,Cabo Lopo Gonçalves
,,,,60713,Cape Mole
,,,,60714,Cape Padroon
