Broad region value,Broad region,Specific region value,Specific region (country or colony),Place value,Places (port or location)
,,,,21522,Madison County
,,,,21523,Benton County
,,,,21524,Columbia County
,,,,21525,Gadsen County
,,,,21526,East Florida
,,,,21527,Hernandez County
,,,,21528,Jackson County
,,,,21529,Hickstown
,,,,21530,Jefferson County
,,,,21531,Newport
,,,,21532,Quincy
,,,,21533,Washington County
,,,,21534,Tallahassee
,,,,21535,Woolsey
,,,,21599,"Florida, port unspecified"
20000,Mainland North America,21600,Gulf coast,21601,New Orleans
,,,,,
,,,,,
,,,,,
,,,,,
,,,,21602,La Balise
,,,,21603,Louisiana
,,,,21604,Biloxi
,,,,21605,Mississippi
,,,,21606,Mobile
,,,,21607,Vicksburg (MS)
,,,,21608,"Alexandria, Rapides Parish"
,,,,21609,Ascension Parish
,,,,21610,Assumption Parish
,,,,21611,Lafayette Parish
,,,,21612,"Wilkinson County, MS"
,,,,21613,Avoyelles Parish
,,,,21614,"Macon County, AL"
,,,,21615,"Bayou Sara, West Feliciana Parish"
,,,,21616,Biloxi
,,,,21617,Catahoula Parish
,,,,21618,Claiborne Parish
,,,,21619,"Donaldsonville, Ascension Parish"
,,,,21620,East Baton Rouge Parish
,,,,21621,East Feliciana Parish
,,,,21622,"Union Parish, LA"
,,,,21623,"Greenville, Jefferson County, MS"
,,,,21624,"Hempstead County, AR"
,,,,21625,"Huntsville, AL"
,,,,21626,Iberville Parish
,,,,21627,Jefferson Parish
,,,,21628,Lafourche Parish
,,,,21629,Livingston Parish
,,,,21630,"Amite County, MS"
,,,,21631,"Adams County, MS"
,,,,21632,Alabama (port unknown)
,,,,21633,Natchitoches Parish
,,,,21634,"Warren County, MS"
,,,,21635,Africatown AL
,,,,21636,Orleans Parish
,,,,21637,Ouachita Parish
,,,,21638,Plaquemines Parish
,,,,,
,,,,,
,,,,,
,,,,,
,,,,21639,"Porterville, AL"
,,,,21640,Rapides Parish
,,,,21641,St. Bernard Parish
,,,,21642,St. Charles Parish
,,,,21643,St. Helena Parish
,,,,21644,St. James Parish
,,,,21645,St. John the Baptist Parish
,,,,21646,St. Landry Parish
,,,,21647,St. Martin Parish
,,,,21648,St. Mary Parish
,,,,21649,Washington Parish
,,,,21650,West Baton Rouge Parish
,,,,21651,West Feliciana Parish
,,,,21652,"Baton Rouge, LA"
,,,,21653,"Clarke County, AL"
,,,,21654,"Natchez, MS"
,,,,21655,"Concordia Parish, LA"
,,,,21656,"Madison Parish, LA"
,,,,21657,"Point Coupee Parish, LA"
,,,,21658,"Cherokee County, AL"
,,,,21659,"Baulding, MS"
,,,,21660,"Brandon, MS"
,,,,21661,"Claiborne County, MS"
,,,,21662,"Columbus, MS"
,,,,21663,"Port Gibson, MS"
,,,,21664,"Franklin County, MS"
,,,,21665,"Greenwood, MS"
,,,,21666,"Hinds County, MS"
,,,,21667,"Jackson County, MS"
,,,,21668,"Jackson, MS"
,,,,21669,"Bigbee, Washington County"
,,,,21670,"Carroll County, MS"
,,,,21671,"Lawrence County, MS"
,,,,21672,"Panola County, MS"
,,,,21673,"Vicksburg, MS"
,,,,21674,"Princetown, MS"
,,,,21675,"Baldwin County, AL"
,,,,,
,,,,,
,,,,,
,,,,,
,,,,21676,"Monroe County, AL"
,,,,21677,"Lowndes County, AL"
,,,,21678,"Montgomery, AL"
,,,,21679,"Franklin, LA"
,,,,21680,"Mooresville, AL"
,,,,21681,"Perry County, AL"
,,,,21682,"Selma, AL"
,,,,21683,"Talledega, AL"
,,,,21684,"Shelby County, AL"
,,,,21685,"Wilcox County, AL"
,,,,21686,"Barbour County, AL"
,,,,21687,"Benton County, AL"
,,,,21688,"Cahaba, AL"
,,,,21689,"Monroe, LA"
,,,,21690,"Jackson, LA"
,,,,21691,"Attakapas, LA"
,,,,21692,"Grand Coteau, LA"
,,,,21693,"Thibodaux, LA"
,,,,21694,"Coosa County, AL"
,,,,21695,"Dallas County, AL"
,,,,21696,"Quincy, AL"
,,,,21697,"Henry County, AL"
,,,,21698,"Green County, AL"
,,,,21699,"Gulf Coast, port unspecifed"
20000,Mainland North America,21700,Canada,21701,Quebec
,,,,21702,New Brunswick
,,,,21703,St. John
,,,,21704,Newfoundland
,,,,21705,Nova Scotia
,,,,21706,Halifax
,,,,21707,Mahone Bay
,,,,21708,"Roseway, NS"
,,,,21799,"Canada, port unspecified"
20000,Mainland North America,21800,Kentucky,21801,Smithfield
,,,,21802,Louisville
,,,,,
,,,,,
,,,,,
,,,,,
,,,,21804,Barton
,,,,21805,Frankfort
,,,,21806,Lexington
,,,,21807,Paris
,,,,21899,"Kentucky, port unspecified"
20000,Mainland North America,21900,Other North America,21126,"Charleston, WV"
,,,,21709,"Jefferson Barracks, MO"
,,,,21901,Newport and Boston
,,,,21902,Newport and Salem
,,,,21903,New England
,,,,21904,Carolinas
,,,,21907,Arkansas (port unknown)
,,,,21908,"Batesville, AR"
,,,,21909,Albany
,,,,21912,"Columbus, MO"
,,,,21913,Missouri - place unspecified
,,,,21914,"St.Louis, MO"
,,,,21915,"Franklin, MO"
,,,,21919,Ohio - place unspecified
,,,,21920,Indiana - place unspecified
,,,,21921,Greensboro
,,,,21922,"Quincy, OH"
,,,,21923,California - place unspecified
,,,,21924,"Paris, MO"
,,,,21925,"Cincinatti, OH"
,,,,21926,Vermont - place unspecified
,,,,21927,"Camden, AR"
,,,,21928,"Rock Creek, IL"
,,,,21999,"USA, location unspecified"
20000,Mainland North America,22000,Tennessee,22001,Nashville
,,,,22002,Fayetteville
,,,,22004,Memphis
,,,,22005,Giles County
,,,,22006,Jackson County
,,,,22007,Shelby County
,,,,,
,,,,,
,,,,,
,,,,,
,,,,22099,"Tennessee, port unspecified"
20000,Mainland North America,22100,Texas,22101,Woodville
,,,,22102,Galveston
,,,,22103,Montgomery County
,,,,22104,Anderson
,,,,22105,Austin
,,,,22107,Houston
,,,,22109,Independence
,,,,22113,Bastrop
,,,,22114,Comal County
,,,,22115,Centreville
,,,,22116,Clinton
,,,,22117,Columbia
,,,,22118,Cuero
,,,,22119,Fayette County
,,,,22120,Fort Graham
,,,,22121,Foster County
,,,,22122,Freestone County
,,,,22123,Goliad
,,,,22124,Gonzales
,,,,22126,Grimes County
,,,,22127,Guadalupe
,,,,22128,Harris County
,,,,22129,"Henderson, Rusk County"
,,,,22130,Huntsville
,,,,22131,Port Lavaca
,,,,22132,Leon County
,,,,22133,Lexington
,,,,22136,Liberty County
,,,,22137,Lubbock County
,,,,22138,Matagorda
,,,,22139,Montgomery County
,,,,22141,New Braunfels
,,,,22142,Fort Bend
,,,,22145,Polk County
,,,,22146,Newton County
,,,,,
,,,,,
,,,,,
,,,,,
,,,,22147,Victoria County
,,,,22148,Waco
,,,,22150,Washington County
,,,,22151,Richmond
,,,,22154,Victoria
,,,,22155,Woodbury County
,,,,22156,Corpus Christi
,,,,22157,Brazoria
,,,,22158,San Antonio
,,,,22159,Dallas County
,,,,22160,Milam County
,,,,22161,Chapel Hill
,,,,22162,Wharton
,,,,22163,San Jacinto
,,,,22199,"Texas, port unspecified"
20000,Mainland North America,23000,California,23099,"California, port unspecified"
30000,Caribbean,31100,Hispaniola,31102,Isabela
,,,,31103,Monte Christi
,,,,31104,Samana
,,,,31106,San Domingo (a) Santo Domingo
,,,,31107,Ocoa
,,,,31108,Nizao
,,,,31109,Puerto de Plata
,,,,31110,Isla Saona
,,,,31199,"Hispaniola, unspecified"
30000,Caribbean,31200,Puerto Rico,31201,San Juan
,,,,31202,Ponce
,,,,31203,Guayama
,,,,31204,San Germán
,,,,31299,"Puerto Rico, port unspecified"
30000,Caribbean,31300,Cuba,31301,Bahia Honda
,,,,31302,Banes
,,,,31303,Cabanas
,,,,31304,Caibarien
,,,,31305,Canasí
,,,,31306,Cardenas
,,,,,
,,,,,
,,,,,
,,,,,
,,,,31307,Cienfuegos
,,,,31308,"Cuba, south coast"
,,,,31309,"Cuba, west coast"
,,,,31310,Estuary of River Guane
,,,,31311,Guanimar
,,,,31312,Havana
,,,,31313,Isla de Pinas
,,,,31314,"Magari, Manzanillo"
,,,,31315,Mariel
,,,,31316,Matanzas
,,,,31317,"Matanzas province, north"
,,,,31318,"Matanzas province, south"
,,,,31319,Nuevitas
,,,,31320,Puerto Padre
,,,,31321,Sagua
,,,,31322,San Juan de los Remedios
,,,,31323,Santiago de Cuba
,,,,31324,Trinidad de Cuba
,,,,31326,Batabanó
,,,,31327,Baracoa
,,,,31328,Punta Macurijes
,,,,31329,South Keys
,,,,31330,Puerto Principe
,,,,31331,Holguín
,,,,31332,Bacuranao
,,,,31399,"Cuba, port unspecified"
30000,Caribbean,31400,Other Spanish,31401,San Andrés
,,,Caribbean,,
,,,,31499,"Spanish Caribbean, unspecified"
,,,,35512,Providence Island
30000,Caribbean,32100,Dutch Caribbean,32110,Curaçao
,,,,32120,Aruba
,,,,32130,Bonaire
,,,,32140,St. Maarten
,,,,32141,Cul de Sac (St. Maarten)
,,,,32150,St. Eustatius
,,,,32151,Saba
,,,,,
,,,,,
,,,,,
,,,,,
,,,,32199,"Dutch Caribbean, colony unspecified"
30000,Caribbean,32200,Dutch Guianas,32201,Guiana
,,,,32202,Nova Zeelandia (Wild Coast)
,,,,32230,Essequibo
,,,,32240,Suriname
,,,,32241,Paramaribo
,,,,32250,Berbice
,,,,32299,"Dutch Guianas, colony unspecified"
30000,Caribbean,32300,Other Dutch Americas,32301,Bijsterpan
,,,,32399,"Other Dutch Americas, colony unspecified"
30000,Caribbean,33200,Tortola,33299,"Tortola, port unspecified"
30000,Caribbean,33300,Anguilla,33399,"Anguilla, port unspecified"
30000,Caribbean,33400,Antigua,33401,Saint John (Antigua)
,,,,33499,"Antigua, port unspecified"
30000,Caribbean,33500,St. Kitts,33599,"St. Kitts, port unspecified"
30000,Caribbean,33600,Nevis,33601,Newcastle (Nevis)
,,,,33699,"Nevis, port unspecified"
30000,Caribbean,33700,Montserrat,33799,"Montserrat, port unspecified"
30000,Caribbean,33800,Dominica,33801,Roseau
,,,,33802,St. Marc
,,,,33899,"Dominica, port unspecified"
30000,Caribbean,34100,St. Lucia,34199,"St. Lucia, port unspecified"
30000,Caribbean,34200,Barbados,34201,King's Harbour
,,,,34202,Speightstown
,,,,34299,"Barbados, port unspecified"
30000,Caribbean,34300,St. Vincent,34399,"St. Vincent, port unspecified"
30000,Caribbean,34400,Grenada,34221,Mount Alexander
,,,,34401,Grand Mal
,,,,34402,Paraelek
,,,,34403,Corinth
,,,,34404,Palmish
,,,,34405,Morne Delue
,,,,34406,Providence
,,,,34407,Clarkes Court
,,,,34408,Bellevue
,,,,34409,Revolution Hall
,,,,34410,St George
,,,,,
,,,,,
,,,,,
,,,,,
,,,,34411,St. Cyr
,,,,34412,Resource
,,,,34413,Hope Vale
,,,,34414,Hermitage
,,,,34415,Grand Ance
,,,,34416,L'Esterre and Columbiere
,,,,34418,Balthazard
,,,,34419,Bacolets and Isle Rhome
,,,,34420,River Antoine and Mount Saint Harg
,,,,34421,Mount Alexander
,,,,34422,Goodson
,,,,34423,Caliving
,,,,34424,Fontenoy
,,,,34425,Adelphi
,,,,34426,Rose Mount
,,,,34427,Mount Pleasant
,,,,34428,Point Saline
,,,,34429,Snell Hall
,,,,34430,La Digue
,,,,34431,Morne Salone
,,,,34432,Carriacou
,,,,34433,Windsor
,,,,34434,Beausefour
,,,,34435,Kettle Point
,,,,34436,Springs
,,,,34437,Vendôme
,,,,34438,Florida
,,,,34439,Carmile
,,,,34499,"Grenada, port unspecified"
30000,Caribbean,34500,Trinidad,34599,"Trinidad, port unspecified"
30000,Caribbean,34600,Tobago,34601,Zion Hill
,,,,34699,"Tobago, port unspecified"
30000,Caribbean,35100,Jamaica,35101,Annotto Bay
,,,,35102,Antonia
,,,,35103,Black River
,,,,35104,Falmouth (Jam.)
,,,,35105,Lucea (a) St. Lucea
,,,,,
,,,,,
,,,,,
,,,,,
,,,,35106,Martha Brae
,,,,35107,Montego Bay
,,,,35108,Morant Bay
,,,,35109,Port Maria
,,,,35110,Port Royal
,,,,35111,Saint Ann's Bay
,,,,35112,Savanna la Mar
,,,,35113,Spanish Town
,,,,35114,Kingston
,,,,35116,Smoaky Hall Plantation Trelawny
,,,,35117,Hide Hall Estate Trelawny
,,,,35118,Hopewell Estate
,,,,35119,Dumfries
,,,,35120,Queenbithe Estate
,,,,35121,"Killbryde, New Canaan Estate"
,,,,35199,"Jamaica, port unspecified"
30000,Caribbean,35200,Bahamas,35201,New Providence
,,,,35202,Turk's Island
,,,,35203,Nassau
,,,,35204,Cat Island
,,,,35205,Exuma
,,,,35206,Heneague
,,,,35299,"Bahamas, port unspecified"
30000,Caribbean,35300,British Guiana,35301,Cumingsberg
,,,,35302,Stabroek
,,,,35304,Demerara
,,,,35305,Kingston (Demerera)
,,,,35399,"British Guina, port unspecified"
30000,Caribbean,35400,British Honduras,35401,Mosquito Shore
,,,,35499,"British Honduras, port unspecified"
,,,,41220,Rattan (a) Roatán
30000,Caribbean,35500,Other British Caribbean,33402,Barbuda
,,,,35502,Antigua or Dominica
,,,,35503,Barbados and Jamaica
,,,,35504,Dominica or Jamaica
,,,,35505,Jamaica or St. Kitts
,,,,35507,British Leewards
,,,,,
,,,,,
,,,,,
,,,,,
,,,,35508,Bermuda
