row_number,Variable,Definition
154,OWNERA,
155,OWNERB,
156,OWNERC,
157,OWNERD,
158,OWNERE,
159,OWNERF,
160,OWNERG,
161,OWNERH,
162,OWNERI,
163,OWNERJ,
164,OWNERK,
165,OWNERL,
166,OWNERM,
167,OWNERN,
168,OWNERO,
169,OWNERP,
170,PLAC1TRA,
171,PLAC2TRA,
172,PLAC3TRA,
173,PLACCONS,
174,PLACREG,
175,PORTDEP,
176,PORTRET,
177,PTDEPIMP,
178,REGARR,
179,REGARR2,
180,REGARR3,
181,REGARR4,
182,REGDIS1,
183,REGDIS2,
184,REGDIS3,
185,REGEM1,
186,REGEM2,
187,REGEM3,
188,REGISREG,
189,RESISTANCE,
190,RETRNREG,
191,RETRNREG1,
192,RIG,
193,SAILD1,
194,SAILD2,
195,SAILD3,
196,SAILD4,
197,SAILD5,
198,SHIPNAME,
199,SLA1PORT,
200,SLAARRIV,
201,SLADAFRI,
202,SLADAMER,
203,SLADVOY,
204,SLAMIMP,
205,SLAS32,
206,SLAS36,
207,SLAS39,
208,SLAVEMA1,
209,SLAVEMA3,
210,SLAVEMA7,
211,SLAVEMX1,
212,SLAVEMX3,
213,SLAVEMX7,
214,SLAVMAX1,
215,SLAVMAX3,
216,SLAVMAX7,
217,SLAXIMP,
218,SLINTEN2,
219,SLINTEND,
220,SOURCEA,
221,SOURCEB,
222,SOURCEC,
223,SOURCED,
224,SOURCEE,
225,SOURCEF,
226,SOURCEG,
227,SOURCEH,
228,SOURCEI,
229,SOURCEJ,
230,SOURCEK,
231,SOURCEL,
232,SOURCEM,
233,SOURCEN,
234,SOURCEO,
235,SOURCEP,
236,SOURCEQ,
237,SOURCER,
238,TONMOD,
239,TONNAGE,
240,TONTYPE,
241,TSLAVESD,
242,TSLAVESP,
243,TSLMTIMP,
244,VOY1IMP,
245,VOY2IMP,
246,VOYAGE,
247,VYMRTIMP,
248,VYMRTRAT,
249,WOMEN1,
250,WOMEN2,
251,WOMEN3,
252,WOMEN4,
253,WOMEN5,
254,WOMEN6,
255,WOMEN7,
256,WOMRAT7,
257,XMIMPFLAG,
258,YEAR10,
259,YEAR100,
260,YEAR25,
261,YEAR5,
262,YEARAF,
263,YEARAM,
264,YEARDEP,
265,YRCONS,
266,YRREG,
267,VOYAGEID2,
268,DATASET,
269,BOYRAT1,
270,CHILRAT1,
271,GIRLRAT1,
272,MALRAT1,
273,MENRAT1,
274,WOMRAT1,
275,BOYRAT3,
276,CHILRAT3,
277,GIRLRAT3,
278,MALRAT3,
279,MENRAT3,
280,WOMRAT3,
281,COMMENTS,
282,CARGOTYPEA,
283,CARGOTYPEB,
284,CARGOTYPEC,
285,CARGOTYPED,
286,CARGOTYPEE,
287,CARGOTYPEF,
288,CARGOTYPEG,
289,CARGOTYPEH,
290,CARGOTYPEI,
291,CARGOTYPEJ,
292,CARGOUNITA,
293,CARGOUNITB,
294,CARGOUNITC,
295,CARGOUNITD,
296,CARGOUNITE,
297,CARGOUNITF,
298,CARGOUNITG,
299,CARGOUNITH,
300,CARGOUNITI,
301,CARGOUNITJ,
302,CARGOAMOUNTA,
303,CARGOAMOUNTB,
304,CARGOAMOUNTC,
305,CARGOAMOUNTD,
306,CARGOAMOUNTE,
307,CARGOAMOUNTF,
308,CARGOAMOUNTG,
309,CARGOAMOUNTH,
310,CARGOAMOUNTI,
311,CARGOAMOUNTJ,
312,AFRINFOA,
313,AFRINFOB,
314,AFRINFOC,
315,intra_or_trans,
316,PLACCONS_names,
317,PLACREG_names,
318,PORTDEP_names,
319,EMBPORT_names,
320,EMBPORT2_names,
321,PLAC1TRA_names,
322,PLAC2TRA_names,
323,PLAC3TRA_names,
324,MAJBUYPT_names,
325,MJBYPTIMP_names,
326,NPAFTTRA_names,
327,ARRPORT_names,
328,ARRPORT2_names,
329,SLA1PORT_names,
330,ADPSALE1_names,
331,ADPSALE2_names,
332,MAJSELPT_names,
333,MJSLPTIMP_names,
334,PORTRET_names,
335,CONSTREG_names,
336,REGISREG_names,
337,DEPTREGIMP_names,
338,EMBREG_names,
339,EMBREG2_names,
340,REGEM1_names,
341,REGEM2_names,
342,REGARR_names,
343,REGARR2_names,
344,REGDIS1_names,
345,REGDIS2_names,
346,REGDIS3_names,
347,MJSELIMP_names,
348,RETRNREG_names,
349,MJSELIMP1_names,
350,RETRNREG1_names,
351,XMIMPFLAG_names,
352,NATIONAL_names,
353,TONTYPE_names,
354,RIG_names,
355,FATE_names,
356,FATE2_names,
357,FATE3_names,
358,FATE4_names,
359,RESISTANCE_names,
360,day_voyage_began,
361,day_slave_purchase_began,
362,day_left_last_slaving_port,
363,day_first_disembarkation,
364,day_second_disembarkation,
365,day_third_disembarkation,
366,day_departure_last_place,
367,day_voyage_completed,
